1,"[0.6178614878474834, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[-1.3254590157859831, 0.0]"
3,"[-1.0215633588371655, 0.004979831392877527]"
5,"[2.8438127650380656, 1.4901161193847656e-08]"
6,"[0.15094620563385697, -0.15126982383082874]"
8,"[1.9655875729351795, 2.1073424255447017e-08]"
9,"[-1.7323247595112676, 0.0031459438399646547]"
11,"[-0.5969978631723588, 0.0]"
12,"[-0.7357323780630252, 0.0012263121874085056]"
1,"[0.6178614878474834, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[-1.357399878269585, -0.014006141425437883]"
3,"[-1.0635563283169942, -0.0039884678327771995]"
5,"[2.8942640757077585, 0.0018374811901540361]"
6,"[0.2501899989702935, 0.0017794196409174948]"
8,"[2.009958327117076, 0.0017033694659901785]"
9,"[-1.7265890380385007, 0.0028488104172481824]"
11,"[-0.6168814256704712, 0.0011256642848114036]"
12,"[-0.7789510761610138, -0.0014634490614923315]"
1,"[0.6243244671907711, -0.008691142935284689, 0]"
0,"[0.0, 0.0]"
2,"[-1.3372917323677214, 0.13343668251053142]"
3,"[-1.0522363725633648, -0.12971187188574199]"
5,"[2.947755729539266, -0.017277735658823543]"
6,"[0.2689254620940955, 0.1791766922579478]"
8,"[1.943330727536196, -0.022832694887268384]"
9,"[-1.678226124215864, 0.038407654560308674]"
11,"[-0.6413670334414303, 0.01781867801991181]"
12,"[-0.7861393639887516, -0.011283200542063313]"
1,"[0.7079948736637922, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[-1.4766467850347076, -0.014270143145753818]"
3,"[-1.0229564968702838, -0.007289155268891328]"
5,"[3.012841574371738, 0.0010261078573359785]"
6,"[0.17231237582790002, 0.011679545215477908]"
8,"[2.1303797460081446, 0.0019170201528766406]"
9,"[-1.2386596893621, 0.003293146043526379]"
11,"[-0.3528156865007975, 0.0011139651239751365]"
12,"[-0.6447051022638449, -0.0021687425408912202]"
1,"[0.7079948736637922, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[-1.4800738817083614, -0.014050364264926018]"
3,"[-1.02495223698754, -0.007245518433905132]"
5,"[3.013078225108532, 0.001057614987738178]"
6,"[0.17071563303361528, 0.00836983366428605]"
8,"[2.13128876589972, 0.002114047176694764]"
9,"[-1.2199818192404823, 0.002210827543300466]"
11,"[-0.34246565771406884, 0.0006151290870979152]"
12,"[-0.6307403444430668, -0.0013200655826841074]"
1,"[0.652758445514247, -0.0016477643320678603, 0]"
0,"[-0.0, -0.03844259002118792]"
2,"[-1.5424931073309716, 0.01053918940817795]"
3,"[-0.996112696163145, -0.06330434556742594]"
5,"[-3.0003947533376865, 0.001057695349179547]"
6,"[0.18143227058374112, 0.33834609350302774]"
8,"[1.5160913227571102, 0.018198700152979693]"
9,"[-0.8961094043440974, 0.014594607332685382]"
11,"[-0.3558115700026588, -0.007942462158493053]"
12,"[-0.6556489837881165, 0.025415918974615623]"
1,"[0.6099846936288096, 0.0, 0]"
0,"[-0.1331363275516477, 0.0]"
2,"[-1.6281889079439993, -0.012832863271799048]"
3,"[-0.9555854627724466, -0.007484207076936948]"
5,"[-2.8355702644587586, 0.0025319908953480926]"
6,"[-0.06941274883162878, -0.0005526080631118872]"
8,"[0.7829330437057033, 0.0058189319900364]"
9,"[-0.48614256513558224, 0.0006887005412456354]"
11,"[-0.544108282909345, 0.0005743695893461594]"
12,"[-1.0879911391766575, -0.0008679549725531827]"
1,"[0.6099846936288096, 0.0, 0]"
0,"[-0.1331363275516477, 0.0]"
2,"[-1.6300894213181838, -0.01330088421718842]"
3,"[-0.9565420832728531, -0.008879022703854832]"
5,"[-2.8327060513297138, 0.0024135917206412195]"
6,"[-0.07198168812224627, -0.0031491608014093207]"
8,"[0.7596002189718867, 0.0030091534548923908]"
9,"[-0.49664007881274913, 0.0019786358386488265]"
11,"[-0.5508270671426808, 0.0008759803505213068]"
12,"[-1.1078760077204222, -0.0019905334469880916]"
1,"[0.6073679932975844, -0.0037305933353135533, 0]"
0,"[-0.13647072660797474, 0.018837259163984998]"
2,"[-1.7849007315550534, -0.0036850484134559464]"
3,"[-0.9552732909837276, -0.020941673334869806]"
5,"[-2.374812069569584, -0.015323867254372202]"
6,"[-0.06936766238178965, -0.12634644315314572]"
8,"[0.6095433937849649, 0.029425234727133893]"
9,"[-0.43292957255823217, -0.017919793760974807]"
11,"[-0.4924725174202272, -0.00779386515620968]"
12,"[-0.9975916579807322, 0.01962407932627898]"
1,"[0.6325723111307974, 1.4901161193847656e-08, 0]"
0,"[-0.0713982524654724, 1.4901161193847656e-08]"
2,"[-1.9496970226614156, -0.010531144682315533]"
3,"[-0.9535615869841854, -0.007383270676717793]"
5,"[-1.9615784527005218, 0.009259066059692424]"
6,"[0.024110594545066533, -0.022980912373472884]"
8,"[0.3294373322715224, 0.0040223563527249885]"
9,"[-0.483822254973007, 0.0008921870672628902]"
11,"[-0.5728145876345395, 0.0010190391828231442]"
12,"[-1.1275487442869818, -0.0022076180461350716]"
1,"[0.6325723111307974, 1.4901161193847656e-08, 0]"
0,"[-0.0713982524654724, 1.4901161193847656e-08]"
2,"[-1.9530173764215029, -0.011421465267552045]"
3,"[-0.956683912117535, -0.009138349644415152]"
5,"[-1.953148427841606, 0.007647099671325355]"
6,"[0.04182381188894613, 0.0006807366517513618]"
8,"[0.31995035557634316, 0.0021675392448507265]"
9,"[-0.49488475339272725, 0.002765079695415969]"
11,"[-0.5758284603190366, 0.0011827713408968082]"
12,"[-1.1345033798876196, -0.002696755343636218]"
1,"[0.6490322754194188, 0.0013765668882886933, 0]"
0,"[-0.0720160118614851, -0.020373356266091054]"
2,"[-1.9733694911524218, -0.04725303006713619]"
3,"[-0.9496962135141059, 0.048169386253098044]"
5,"[-1.9360295097828486, -0.021962637129158667]"
6,"[0.043775310581572906, -0.16987478787358207]"
8,"[0.31672838939788034, 0.003545890159688982]"
9,"[-0.48936927223535587, 0.005194689888571662]"
11,"[-0.5895525969905944, 0.027009933504604493]"
12,"[-1.1736069659372976, -0.004330078962517017]"
1,"[0.654800423600453, 0.0, 0]"
0,"[-0.14787810276003813, 1.4901161193847656e-08]"
2,"[-1.9633458452645476, -0.011265620304176582]"
3,"[-0.9554888476883087, -0.008222511393528286]"
5,"[-1.989235645312137, 0.00779350185215068]"
6,"[0.17525795368785796, 0.0022448146497994295]"
8,"[0.3065903644659064, 0.0021232420721592963]"
9,"[-0.4707507657943924, 0.002866721844162137]"
11,"[-0.16338036630761824, 0.0011558585547185377]"
12,"[-1.1940433113556472, -0.003538551120643366]"
1,"[0.654800423600453, 0.0, 0]"
0,"[-0.14787810276003813, 1.4901161193847656e-08]"
2,"[-1.962837170563617, -0.011443187498043874]"
3,"[-0.9553617046418814, -0.0075800940455089125]"
5,"[-1.9912027830866885, 0.007934716727353687]"
6,"[0.1785436217290514, 0.00780417676512819]"
8,"[0.3062489551511445, 0.0020546606389988905]"
9,"[-0.4704278938018811, 0.0028162038933946614]"
11,"[-0.1483144602547961, 0.00032181478334229697]"
12,"[-1.183610933864465, -0.002667021142121484]"
1,"[0.6382051575474165, 0.01623383185560379, 0]"
0,"[-0.14463205152470304, -0.035350203705048586]"
2,"[-2.047058431017928, -0.023203322701680993]"
3,"[-0.9452387519579497, 0.009641490154325336]"
5,"[-1.5538073619270631, 0.028681940999294712]"
6,"[0.1765961410156056, 0.033137080401190046]"
8,"[0.2553266522979243, 0.0006107274519100128]"
9,"[-0.396143111062973, 0.057113831944660076]"
11,"[-0.21739778583863067, -0.01643177707227413]"
12,"[-1.5302484080452703, -0.003450043311440895]"
1,"[0.4985043402747523, 1.4901161193847656e-08, 0]"
0,"[-0.26510306459334837, 0.0]"
2,"[-2.1227099365413693, -0.009908061431621644]"
3,"[-0.9395950656212352, -0.006667498421013041]"
5,"[-1.0720173870974001, 0.015594920662891474]"
6,"[0.1567234686267429, -0.013274804361276153]"
8,"[0.21105359125698606, 0.0025744290477891308]"
9,"[-0.11393745332910492, 0.003103901845260564]"
11,"[-0.8150089047061169, 0.00022069369245293006]"
12,"[-1.8725464581619171, -0.000986691956188927]"
1,"[0.4985043402747523, 1.4901161193847656e-08, 0]"
0,"[-0.26510306459334837, 0.0]"
2,"[-2.124038762775082, -0.01033465199181762]"
3,"[-0.9408857002076104, -0.007110536125184823]"
5,"[-1.0582019531877251, 0.010827701801047142]"
6,"[0.17227624426521562, 0.006296209697351383]"
8,"[0.20951627422043695, 0.00212956752690044]"
9,"[-0.10559848645139636, 0.000997451363339036]"
11,"[-0.8359422751818026, 0.0008197927649108269]"
12,"[-1.8922157351052444, -0.0019596990000548876]"
1,"[0.5303254239253007, -0.0024211195788490397, 0]"
0,"[-0.27399967945648257, 0.016573068112620545]"
2,"[-1.9236303289970584, -0.08882866146439627]"
3,"[-1.0361879918545047, 0.07726012952539626]"
5,"[-0.8564473120811584, -0.06833909539599084]"
6,"[0.23597137406655808, -0.0417524515077801]"
8,"[0.18226849660275798, -0.04492858010713322]"
9,"[-0.1129346270515417, 0.06244851016729146]"
11,"[-0.7179945783673204, 0.0006341296611175319]"
12,"[-1.9276897682592924, -0.01669717133839652]"
1,"[0.5829135889557342, 0.0, 0]"
0,"[-0.22131444234779138, 0.0]"
2,"[-1.6386417000134132, -0.015011365500467345]"
3,"[-1.1427043395780763, -0.0053933579611507515]"
5,"[-0.7759561025977777, 0.01509730633743832]"
6,"[0.35767540960634503, 0.0030718665987380564]"
8,"[0.2743603285769427, 0.002407661937637545]"
9,"[0.15605618983693878, 0.0015887514281297532]"
11,"[-0.6069070650871273, 0.0010414494157314166]"
12,"[-1.7772897000008, -0.0020041084634265425]"
1,"[0.5829135889557342, 0.0, 0]"
0,"[-0.22131444234779138, 0.0]"
2,"[-1.6319247046356826, -0.013306821841666892]"
3,"[-1.1394194853609534, -0.00448700488819895]"
5,"[-0.7734998624484816, 0.013036530344521378]"
6,"[0.3646721202195105, 0.009087300023247424]"
8,"[0.27747584811224024, 0.0037304928463408145]"
9,"[0.16856941727477218, -0.001183974530539333]"
11,"[-0.6032311117138717, 0.0008804898705668902]"
12,"[-1.7687460365909533, -0.0017643358295409077]"
1,"[0.5750147109805118, -0.0195845987932223, 0]"
0,"[-0.22120926035923308, 0.019560220788675187]"
2,"[-1.5817638472198052, -0.07341568549283861]"
3,"[-1.1282827270427602, 0.12072984429175009]"
5,"[-0.794453375668221, -0.16941802681251064]"
6,"[0.3398109447916932, -0.22715487702973355]"
8,"[0.26832948628834447, 0.021565670440430076]"
9,"[0.1692002570499263, 0.03703132280625154]"
11,"[-0.5176514748901373, -0.01047762640175246]"
12,"[-1.6484323081066976, 0.014316588313762021]"
1,"[0.7262941031253782, 2.1073424255447017e-08, 0]"
0,"[-0.14787811490401925, 2.1073424255447017e-08]"
2,"[-1.4587736895265748, -0.014502957839133418]"
3,"[-1.1249175949841272, -0.002583939739318828]"
5,"[-1.0589625615779164, 0.013178496409662536]"
6,"[0.5452146925473526, 0.010103354756464171]"
8,"[0.21780723725100007, 0.003946527583366994]"
9,"[0.3391364421444414, -0.001660393098563711]"
11,"[-0.6138265925429922, 0.0010672499330966001]"
12,"[-1.7353196669924178, -0.001962632312462699]"
1,"[0.7262941031253782, 2.1073424255447017e-08, 0]"
0,"[-0.14787811490401925, 2.1073424255447017e-08]"
2,"[-1.4556061098605046, -0.013811594984223415]"
3,"[-1.1226445258885782, -0.000742150139273646]"
5,"[-1.0657021875899886, 0.014946874877681014]"
6,"[0.5453521719524215, 0.015076732685038258]"
8,"[0.21607010902140514, 0.0031843698971494357]"
9,"[0.34294719247718847, -0.0026322756729578642]"
11,"[-0.6174806304855365, 0.0012619958810841231]"
12,"[-1.7403880603079285, -0.0021840877581545725]"
1,"[0.7179112670288403, 0.005331763310417864, 0]"
0,"[-0.145191920048973, 0.03919560192705715]"
2,"[-2.4935215662573427, -0.1598780506696976]"
3,"[-0.9827020842720934, 0.1439340675648385]"
5,"[-0.9596962770911156, -0.15840040324451723]"
6,"[0.6154274589669549, 0.042381441954945524]"
8,"[0.1865474573116484, 0.01087851731335237]"
9,"[0.31274780857181894, -0.03351956968442747]"
11,"[-0.6277228818387308, -0.01946371731224929]"
12,"[-1.5037640864236195, 0.005829586037052229]"
1,"[0.667890143689788, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[2.6175543504505434, 0.004771617630324213]"
3,"[-0.7480611961382342, 0.038025075029366986]"
5,"[-1.0112235785338914, 0.0178914328714702]"
6,"[0.6518670123542425, 0.01291811445118521]"
8,"[0.1448703531309483, 0.00377296218089259]"
9,"[0.17089143402136006, -0.0033556368986271986]"
11,"[-0.9457794619964686, 0.001250459276427959]"
12,"[-1.3540656589705498, -0.0024221747978779326]"
1,"[0.667890143689788, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[2.7154540983488644, -0.004185381467893777]"
3,"[-0.6516827065106678, 0.004301535752969844]"
5,"[-1.011939331507303, 0.015736770719287623]"
6,"[0.651867035385406, 0.014301410443749555]"
8,"[0.14342131814379483, 0.002922009787365084]"
9,"[0.16455022745165257, -0.0016265932881334047]"
11,"[-0.9568945853735147, 0.0018718171427686853]"
12,"[-1.3579909926857199, -0.0027535574801759066]"
1,"[0.7525202416231556, 0.013517322247006074, 0]"
0,"[0.0, -0.02127338602406181]"
2,"[2.495680830725766, -0.0980359858814327]"
3,"[-0.761110470591124, 0.25933491562517796]"
5,"[-0.9593742566041169, -0.1029959052575886]"
6,"[0.6489493582503798, 0.019061057556529808]"
8,"[0.12846338817905542, 0.003348218592260372]"
9,"[0.24481810150569988, 0.00456529178847942]"
11,"[-1.070465002946174, -0.00954576620726848]"
12,"[-1.4779372751894464, -0.051604107522748896]"
1,"[0.7059807756538209, 0.0, 0]"
0,"[-0.08690179078306168, 0.0]"
2,"[2.110791654308004, -0.009342496955071113]"
3,"[-0.8271479433196434, -0.0003517354737137341]"
5,"[-0.9877397006254596, 0.017205203598616072]"
6,"[0.6394547785327358, 0.013735359059500334]"
8,"[0.11344771025916969, 0.003273666793331146]"
9,"[0.36640793812596184, -0.0012270914787427148]"
11,"[-1.3512813554869765, 0.0016327106996964287]"
12,"[-0.9252735815633596, -0.0019083288348763334]"
1,"[0.7059807756538209, 0.0, 0]"
0,"[-0.08690179078306168, 0.0]"
2,"[2.1051621019429554, -0.007780778700915329]"
3,"[-0.8368115854015221, 0.01172349048927066]"
5,"[-0.9879423323599567, 0.01512631574045579]"
6,"[0.6387068701156497, 0.014259237484149317]"
8,"[0.11292619706262506, 0.0028917665318353544]"
9,"[0.36999490592678386, -0.0017349022954916552]"
11,"[-1.3601463171317012, 0.0020508886496506426]"
12,"[-0.9127111448633687, -0.0014896519210659672]"
1,"[0.7808305789063019, -0.0062829861062348134, 0]"
0,"[-0.0971384910116189, 0.02127338602406181]"
2,"[1.785418229523975, -0.10805182510335584]"
3,"[-0.801909124020816, 0.27972624790922757]"
5,"[-2.2196980559402038, -0.06806051435630582]"
6,"[1.856411926032496, 0.016530886213013348]"
8,"[0.09965584778851325, -0.18645981737377146]"
9,"[2.5318831461222238, 0.028589764662802726]"
11,"[-2.255775173034868, -0.017423361066550666]"
12,"[-2.1185005759942337, 0.05136819941993205]"
1,"[0.9272952180016121, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[1.209076748757914, -0.013814061654431477]"
3,"[-0.6703767800264909, -0.0003484287892599917]"
5,"[2.819536957242186, -0.0029773838907787673]"
6,"[-3.0969156575515817, 0.0005013825816268617]"
8,"[0.2792100231916373, 0.0015357717139049872]"
9,"[-1.9262074193106251, 0.0021326688743910347]"
11,"[3.1056683461342995, -5.5966958286630054e-05]"
12,"[3.1255812083862122, 0.0001300889423390642]"
1,"[0.9272952180016121, 0.0, 0]"
0,"[0.0, 0.0]"
2,"[1.1940862598057655, -0.00921714964250282]"
3,"[-0.6820390329841036, 0.01583837463874547]"
5,"[2.907277221673368, 0.002628992770071301]"
6,"[-3.095748325847799, 0.0005158761768142659]"
8,"[0.28578587380848514, 0.008967614929339571]"
9,"[-1.9975060490494858, -0.0017501754473305522]"
11,"[-3.08737744498758, -0.00012864266969497406]"
12,"[-3.0869704072056905, 0.00043062194790030914]"
1,"[0.9310823057418094, 0.010775445003193, 0]"
0,"[0.0, -0.02127338602406181]"
2,"[1.2220956822176725, -0.033212821800234694]"
3,"[-0.706895354081542, 0.14642588210564852]"
5,"[-2.06760913795565, -0.09478181415025226]"
6,"[1.8142789675580062, 0.12667352971566148]"
8,"[0.25819385466160033, 0.19696189135970651]"
9,"[-2.0158777148910074, -0.09087171581422596]"
11,"[-2.3626918312490472, 0.012753257314728827]"
12,"[-2.5336852351754167, 0.07627835559705592]"
1,"[0.8097836615917557, 1.4901161193847656e-08, 0]"
0,"[-0.11099701049143287, 0.0]"
2,"[1.1771969853238822, -0.008883010738443409]"
3,"[-0.6591620918903373, 0.013866070391612764]"
5,"[-0.8935722903108443, 0.032919247205007135]"
6,"[0.4323078785770004, 0.018442348081116524]"
8,"[0.0775943887216602, 0.01145230222353838]"
9,"[0.3257377088472719, -0.0015934197225095452]"
11,"[-1.3890067964712434, 0.003891442510871117]"
12,"[-2.267343723783713, -0.004999539324365159]"
1,"[0.8097836615917557, 1.4901161193847656e-08, 0]"
0,"[-0.11099701049143287, 0.0]"
2,"[1.1762546170605508, -0.008501461359032602]"
3,"[-0.6597517279645723, 0.016568975160699256]"
5,"[-0.8695388259624431, 0.012561148620832354]"
6,"[0.4259959058336753, 0.012202554228575621]"
8,"[0.07106091696250302, 0.003251852099079657]"
9,"[0.40774073688170315, 0.00027978299479001904]"
11,"[-1.361357732849153, 0.002308085116431759]"
12,"[-2.2487403248127076, -0.0032841908144749764]"
1,"[1.0450326389649578, 0.007948958171179389, 0]"
0,"[-0.11425432796143985, 0.0]"
2,"[1.0409904236435352, -0.09680773756314552]"
3,"[-0.6419224930849322, 0.032498331872856466]"
5,"[-0.8182091015240158, -0.2100326424211096]"
6,"[0.4494825952445457, 0.008125281585411223]"
8,"[0.08679226317251591, 0.05774417438998782]"
9,"[0.23886835581280294, -0.0653188847696695]"
11,"[-1.4566900976461996, 0.0319673122316723]"
12,"[-2.389911475582589, -0.11447005127649748]"
